+------------+---------------------------------+-------------------------+
| act_sub_id | num_of_patients_allergic_to_sub | products_containing_sub |
|       8328 |                               1 |                       1 |
|       9330 |                               1 |                       1 |
|      11329 |                               1 |                       1 |
|        684 |                               1 |                      43 |
|       1764 |                               1 |                       1 |
|       2520 |                               1 |                       3 |
|       4074 |                               1 |                      15 |
|       4741 |                               1 |                      55 |
|       5566 |                               1 |                       2 |
|       6425 |                               1 |                       2 |
|       7454 |                               1 |                       1 |
|       8335 |                               1 |                       1 |
|       9339 |                               1 |                       1 |
|      10278 |                               1 |                       1 |
|      11596 |                               1 |                       2 |
|        878 |                               1 |                       1 |
|       1845 |                               1 |                       7 |
|       2527 |                               1 |                       1 |
|       3610 |                               1 |                       1 |
|       4140 |                               1 |                       1 |
|       4778 |                               1 |                     102 |
|       5568 |                               1 |                       1 |
|       6427 |                               1 |                       1 |
|       7496 |                               1 |                       2 |
|       8410 |                               1 |                       2 |
|       9340 |                               1 |                       1 |
|      10279 |                               1 |                       1 |
|      11660 |                               1 |                       1 |
|        902 |                               1 |                       1 |
|       1873 |                               1 |                       1 |
|       2611 |                               1 |                       1 |
|       3644 |                               1 |                       1 |
|       4163 |                               1 |                       1 |
|       4858 |                               1 |                       2 |
|       5690 |                               1 |                       7 |
|       6459 |                               1 |                      26 |
|       7504 |                               1 |                      15 |
|       9389 |                               1 |                       1 |
|      10329 |                               1 |                       1 |
|      11676 |                               1 |                       1 |
|        943 |                               1 |                      77 |
|       1886 |                               1 |                       1 |
|       2623 |                               1 |                       3 |
|       3670 |                               1 |                      17 |
|       4166 |                               1 |                       1 |
|       4892 |                               1 |                       1 |
|       5711 |                               1 |                       1 |
|       6560 |                               1 |                      23 |
|       7592 |                               1 |                      14 |
|       8429 |                               1 |                       1 |
|       9448 |                               1 |                       1 |
|      10391 |                               1 |                       5 |
|      11890 |                               1 |                       1 |
|       1003 |                               1 |                       4 |
|       1924 |                               1 |                      25 |
|       2632 |                               1 |                       1 |
|       3673 |                               1 |                       1 |
|       4175 |                               1 |                       2 |
|       5020 |                               1 |                      30 |
|       5754 |                               1 |                      37 |
|       6609 |                               1 |                       4 |
|       7686 |                               1 |                       4 |
|       8448 |                               1 |                       4 |
|       9464 |                               1 |                       1 |
|      10517 |                               1 |                      20 |
|      11906 |                               1 |                       1 |
|       1039 |                               1 |                      23 |
|       2000 |                               1 |                       4 |
|       2648 |                               1 |                       1 |
|       3682 |                               1 |                       1 |
|       4301 |                               1 |                       2 |
|       6638 |                               1 |                       1 |
|       7687 |                               1 |                       4 |
|       8461 |                               1 |                       2 |
|      10555 |                               1 |                       2 |
|      11933 |                               1 |                       1 |
|       1060 |                               1 |                      19 |
|       2001 |                               1 |                       4 |
|       2684 |                               1 |                       1 |
|       3809 |                               1 |                       1 |
|       4316 |                               1 |                       2 |
|       5069 |                               1 |                       8 |
|       6085 |                               1 |                       1 |
|       6770 |                               1 |                       1 |
|       7837 |                               1 |                       5 |
|       8463 |                               1 |                       2 |
|       9504 |                               1 |                       1 |
|      10614 |                               1 |                       1 |
|      11974 |                               1 |                       1 |
+------------+---------------------------------+-------------------------+
