+-------+-----------------------------+-------+---------------------+---------------+
| level | dept_name                   | count | avg_wait_time (min) | hosp_per_cent |
|     4 | Intensive care unit (ICU)   |     3 |            162.0000 |        2.5641 |
|     4 | Neurology                   |     5 |            135.2000 |        4.2735 |
|     4 | Oncology                    |     7 |            184.2857 |        5.9829 |
|     4 | Operating theatre (OT)      |     7 |            163.5714 |        5.9829 |
|     4 | Opthalmology                |     5 |            199.4000 |        4.2735 |
|     4 | Orthopaedic                 |     6 |            135.8333 |        5.1282 |
|     4 | Outpatient Department (OPD) |     4 |            122.0000 |        3.4188 |
|     4 | Pediatrics                  |     3 |             54.0000 |        2.5641 |
|     4 | Psychiatry                  |     6 |            183.1667 |        5.1282 |
|     4 | Urology                     |     5 |            151.0000 |        4.2735 |
|     5 | N/A                         |    33 |                NULL |       29.7297 |
|     5 | Anesthesiology              |     8 |            168.1250 |        7.2072 |
|     5 | Cardiology                  |     3 |            189.6667 |        2.7027 |
|     5 | Casualty                    |     4 |            125.5000 |        3.6036 |
|     5 | ENT                         |     9 |            179.1111 |        8.1081 |
|     5 | Gastroenterology            |     3 |            223.0000 |        2.7027 |
|     5 | General surgery             |     6 |            197.1667 |        5.4054 |
|     5 | Geriatric                   |     4 |            135.7500 |        3.6036 |
|     5 | Gynaecology                 |     4 |            140.2500 |        3.6036 |
|     5 | Haematology                 |     5 |            121.4000 |        4.5045 |
|     5 | Inpatient Department (IPD)  |     3 |            259.6667 |        2.7027 |
|     5 | Intensive care unit (ICU)   |     2 |             65.0000 |        1.8018 |
|     5 | Oncology                    |     3 |            195.3333 |        2.7027 |
|     5 | Operating theatre (OT)      |     2 |            258.0000 |        1.8018 |
|     5 | Opthalmology                |     2 |            106.5000 |        1.8018 |
|     5 | Orthopaedic                 |     4 |            163.2500 |        3.6036 |
|     5 | Outpatient Department (OPD) |     2 |            104.5000 |        1.8018 |
|     5 | Pediatrics                  |     4 |            141.5000 |        3.6036 |
|     5 | Psychiatry                  |     2 |            256.0000 |        1.8018 |
|     5 | Urology                     |     8 |            166.2500 |        7.2072 |
+-------+-----------------------------+-------+---------------------+---------------+
